product_id,product_name,ingredient_label,ingredient_kind,botanical_entry_id,matched_botanical_name,match_status,candidate_matches,resolution_needed
PROD-BR-00001,Abacaxi — Cordial / Syrup,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00002,Abacaxi — Extract / Concentrate,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00003,Abacaxi — Fresh Produce,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00004,Abacaxi — Frozen Pulp / Purée,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00005,Abacaxi — Functional Beverage / RTD,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00006,Abacaxi — Jam / Preserve,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00007,Abacaxi — Juice / Nectar,Abacaxi,Primary,BOT-BR-0001,Abacaxi,matched_source_id,BOT-BR-0001:Abacaxi,False
PROD-BR-00010,Abacaxi — BRS Ajubá — Cordial / Syrup,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00011,Abacaxi — BRS Ajubá — Extract / Concentrate,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00012,Abacaxi — BRS Ajubá — Fresh Produce,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00013,Abacaxi — BRS Ajubá — Frozen Pulp / Purée,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00014,Abacaxi — BRS Ajubá — Functional Beverage / RTD,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00015,Abacaxi — BRS Ajubá — Jam / Preserve,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00016,Abacaxi — BRS Ajubá — Juice / Nectar,Abacaxi — BRS Ajubá,Primary,BOT-BR-0002,Abacaxi — BRS Ajubá,matched_source_id,BOT-BR-0002:Abacaxi — BRS Ajubá,False
PROD-BR-00019,Abacaxi — BRS Imperial — Cordial / Syrup,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00020,Abacaxi — BRS Imperial — Extract / Concentrate,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00021,Abacaxi — BRS Imperial — Fresh Produce,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00022,Abacaxi — BRS Imperial — Frozen Pulp / Purée,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00023,Abacaxi — BRS Imperial — Functional Beverage / RTD,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00024,Abacaxi — BRS Imperial — Jam / Preserve,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00025,Abacaxi — BRS Imperial — Juice / Nectar,Abacaxi — BRS Imperial,Primary,BOT-BR-0003,Abacaxi — BRS Imperial,matched_source_id,BOT-BR-0003:Abacaxi — BRS Imperial,False
PROD-BR-00028,Abacaxi — BRS Vitória — Cordial / Syrup,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00029,Abacaxi — BRS Vitória — Extract / Concentrate,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00030,Abacaxi — BRS Vitória — Fresh Produce,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00031,Abacaxi — BRS Vitória — Frozen Pulp / Purée,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00032,Abacaxi — BRS Vitória — Functional Beverage / RTD,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00033,Abacaxi — BRS Vitória — Jam / Preserve,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00034,Abacaxi — BRS Vitória — Juice / Nectar,Abacaxi — BRS Vitória,Primary,BOT-BR-0004,Abacaxi — BRS Vitória,matched_source_id,BOT-BR-0004:Abacaxi — BRS Vitória,False
PROD-BR-00037,Abacaxi — MD-2 — Cordial / Syrup,Abacaxi — MD-2,Primary,BOT-BR-0005,Abacaxi — MD-2,matched_source_id,BOT-BR-0005:Abacaxi — MD-2,False
PROD-BR-00038,Abacaxi — MD-2 — Extract / Concentrate,Abacaxi — MD-2,Primary,BOT-BR-0005,Abacaxi — MD-2,matched_source_id,BOT-BR-0005:Abacaxi — MD-2,False
