botanical_entry_id,common_name_en,mature_height_m_min,mature_height_m_max,mature_spread_m_min,mature_spread_m_max,endemic_to_brazil,conservation_flag,invasive_risk_brazil,source_url_primary,source_url_secondary,source_url_tertiary,confidence_score,confidence_notes,match_basis
BOTBR-0001,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0001,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0001,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0002,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0002,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0002,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0003,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0003,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0003,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
BOTBR-0004,pineapple,0.6,1.5,0.6,1.2,FALSE,no,low,https://floradobrasil.jbrj.gov.br/consulta/?q=Ananas%20comosus,https://powo.science.kew.org/results?q=Ananas%20comosus,https://www.embrapa.br/busca-de-publicacoes/-/publicacao/busca/abacaxi,5,Brazil block 1 row built from accepted-name backbone plus profile-level horticultural defaults; verify cultivar-specific details before production deployment.,scientific_name_to_accepted_name
